Route.Stop,Max.Count,Latitude,Longitude,Color
4,0,44.97643,-70.31806,#000000
5,0,44.9754,-70.31523,#000000
6,0,44.97668,-70.31259,#000000
13,0,44.13263,-73.97939,#000000
14,0,44.13423,-73.98158,#000000
18,0,44.13475,-73.84976,#000000
21,0,44.13965,-73.84588,#000000
26,0,45.31235196,-71.03872301,#000000
46,0,43.9955113,-72.93601239,#000000
47,0,43.99749354,-72.93749381,#000000
52,0,44.78334,-72.56134,#000000
64,0,44.18684525,-73.85294197,#000000
65,0,44.1788,-73.86912,#000000
67,0,44.17467,-73.86883,#000000
68,0,44.17313,-73.86637,#000000
80,0,44.44432709,-72.83662381,#000000
89,0,44.4442162,-72.84135405,#000000
97,0,44.00017,-72.9333,#000000
100,0,45.95464203,-69.01729412,#000000
101,0,45.95243884,-69.01644202,#000000
102,0,45.9508244,-69.01871067,#000000
103,0,45.94931684,-69.02102826,#000000
107,0,44.4950843,-71.40715334,#000000
108,0,44.49548428,-71.40401876,#000000
109,0,44.49548428,-71.40091049,#000000
129,0,44.98199,-70.36702,#000000
150,0,44.76215,-70.76237,#000000
170,0,44.26268379,-71.17670816,#000000
175,0,44.31091134,-71.4845344,#000000
198,0,44.39781633,-71.31026826,#000000
202,0,44.40199915,-71.29921982,#000000
203,0,44.07106644,-73.80139729,#000000
205,0,44.07009884,-73.79554421,#000000
210,0,43.30833773,-73.03986995,#000000
211,0,43.30874861,-73.03678986,#000000
212,0,43.30974212,-73.03400807,#000000
213,0,43.31062775,-73.03117407,#000000
214,0,43.31099681,-73.02810864,#000000
219,0,44.66241608,-71.76920302,#000000
224,0,44.24206523,-71.36082647,#000000
225,0,44.24146509,-71.3578219,#000000
229,0,44.20444448,-71.293801,#000000
231,0,44.20846788,-71.29097622,#000000
234,0,43.16748,-73.11227,#000000
236,0,43.16436,-73.11654,#000000
237,0,43.16343,-73.11936,#000000
238,0,43.16188,-73.12162,#000000
244,0,44.30103,-72.87955,#000000
245,0,43.87030779,-72.9767238,#000000
257,0,42.97738206,-73.07162454,#000000
259,0,42.97429693,-73.06925531,#000000
263,0,44.13004,-73.84219,#000000
271,0,44.07878727,-71.51163979,#000000
272,0,44.16156,-73.81155,#000000
276,0,44.15608,-73.819,#000000
282,0,44.17856,-73.73991,#000000
293,0,42.18541,-74.23177,#000000
294,0,42.16534,-74.22706,#000000
296,0,42.16739,-74.22216,#000000
297,0,42.16931,-74.22368,#000000
298,0,42.17109,-74.22551,#000000
304,0,42.17419,-74.23521,#000000
314,0,44.23774,-73.71455,#000000
315,0,44.23995,-73.71516,#000000
316,0,44.24185,-73.71349,#000000
319,0,44.20927062,-71.31052558,#000000
320,0,44.20781887,-71.31288601,#000000
329,0,44.30835745,-71.29139892,#000000
330,0,44.30876465,-71.28835302,#000000
337,0,45.88556835,-68.94394015,#000000
338,0,45.88407763,-68.94635808,#000000
339,0,45.89229944,-68.94148618,#000000
341,0,45.9207876,-68.90933588,#000000
342,0,45.91848954,-68.90979353,#000000
346,0,45.42343942,-70.55005386,#000000
347,0,45.42639454,-70.55064362,#000000
350,0,45.42119818,-70.54475156,#000000
356,0,45.41227807,-70.55586764,#000000
361,0,43.61168,-72.82851,#000000
362,0,43.613,-72.831,#000000
363,0,43.61375,-72.83381,#000000
366,0,43.59913998,-72.80760742,#000000
370,0,44.98526562,-70.36409212,#000000
372,0,44.98199131,-70.36702093,#000000
375,0,44.98032809,-70.37605327,#000000
377,0,44.56121156,-74.15393502,#000000
378,0,44.56314133,-74.15231204,#000000
384,0,44.15136,-73.8252,#000000
385,0,44.70953772,-73.8560882,#000000
392,0,44.32546,-71.25484,#000000
395,0,44.31876753,-71.27479873,#000000
396,0,44.31732265,-71.27242438,#000000
397,0,44.31599261,-71.26990294,#000000
398,0,44.31426753,-71.26789782,#000000
399,0,44.31202127,-71.26759247,#000000
400,0,44.30981708,-71.26710624,#000000
406,0,45.0630822,-71.1630869,#000000
407,0,44.54961,-72.80371,#000000
409,0,44.54593,-72.80392,#000000
430,0,44.36315741,-71.11312355,#000000
431,0,44.36095046,-71.11393265,#000000
432,0,44.35867184,-71.11397549,#000000
433,0,44.35646807,-71.11333502,#000000
434,0,44.35423027,-71.11288089,#000000
435,0,44.35193187,-71.11442199,#000000
437,0,44.26898891,-71.34346663,#000000
438,0,44.26908053,-71.34031386,#000000
440,0,44.26797386,-71.33465038,#000000
441,0,44.26695764,-71.33184236,#000000
454,0,44.03658707,-71.80464062,#000000
456,0,44.03385742,-71.80956046,#000000
457,0,44.03201222,-71.81123818,#000000
458,0,44.02979672,-71.81070702,#000000
461,0,44.31277,-71.32994,#000000
463,0,44.30855,-71.33163,#000000
465,0,44.30422,-71.33277,#000000
481,0,44.32361738,-71.49452437,#000000
494,0,44.31009217,-71.18091672,#000000
495,0,44.31000743,-71.17778071,#000000
501,0,44.14275225,-71.73687754,#000000
502,0,44.14071084,-71.73548833,#000000
506,0,44.74234,-70.77176,#000000
508,0,44.74405,-70.76598,#000000
519,0,43.9486024,-71.38497306,#000000
520,0,43.9465407,-71.38373748,#000000
521,0,43.94435286,-71.38294271,#000000
522,0,43.9423013,-71.3816752,#000000
523,0,44.21855,-71.33783,#000000
524,0,44.22076,-71.33845,#000000
525,0,44.22303,-71.33875,#000000
526,0,44.22493,-71.34041,#000000
527,0,44.22713,-71.33982,#000000
528,0,44.22937,-71.33951,#000000
531,0,44.22279624,-71.38666897,#000000
532,0,44.22163501,-71.38397075,#000000
533,0,44.22138616,-71.38084925,#000000
534,0,44.22241696,-71.37804726,#000000
539,0,42.14968,-74.18329,#000000
541,0,42.14605,-74.17957,#000000
544,0,42.13974,-74.17657,#000000
548,0,44.21428,-73.84469,#000000
549,0,44.21318,-73.84744,#000000
552,0,44.21217,-73.85676,#000000
580,0,44.95793642,-70.45931842,#000000
582,0,44.95871242,-70.45337959,#000000
598,0,43.95223377,-71.43376814,#000000
601,0,43.94740102,-71.42752438,#000000
613,0,44.27489656,-73.73221423,#000000
614,0,44.18204586,-71.57034882,#000000
616,0,44.17863443,-71.57422763,#000000
617,0,44.17752466,-71.57693842,#000000
619,0,44.17487112,-71.58150011,#000000
622,0,44.18249094,-71.55013301,#000000
626,0,44.56328122,-70.97138003,#000000
647,0,43.07909,-72.93204,#000000
648,0,43.08035,-72.92951,#000000
664,0,45.03685833,-70.31670176,#000000
669,0,44.7424076,-71.46248052,#000000
675,0,44.05529296,-71.35526248,#000000
677,0,43.97514679,-71.44107867,#000000
678,0,43.97329448,-71.44282898,#000000
681,0,43.97737135,-71.45034688,#000000
694,0,44.27561514,-71.34581801,#000000
695,0,44.27378654,-71.34767435,#000000
701,0,45.25279594,-70.81513331,#000000
703,0,45.24882208,-70.81343187,#000000
705,0,45.24654262,-70.81866017,#000000
707,0,45.24681034,-70.82503318,#000000
708,0,45.24652258,-70.82824881,#000000
715,0,43.94781,-71.411,#000000
716,0,43.94529,-71.41235,#000000
718,0,43.94174,-71.41497,#000000
723,0,44.20064832,-71.46663576,#000000
731,0,44.08854682,-71.75350665,#000000
732,0,44.08627373,-71.75364462,#000000
734,0,44.08179469,-71.75267391,#000000
735,0,44.07959562,-71.75273962,#000000
747,0,44.43721924,-72.60543223,#000000
1,1,44.97308,-70.32598,#FFFFB2
2,1,44.97473,-70.32381,#FFFFB2
12,1,44.13039,-73.97926,#FFFFB2
16,1,44.13768,-73.98564,#FFFFB2
19,1,44.13682,-73.85075,#FFFFB2
20,1,44.13813,-73.84821,#FFFFB2
23,1,44.14151,-73.84059,#FFFFB2
28,1,45.31021248,-71.03312264,#FFFFB2
37,1,43.98034701,-72.94080189,#FFFFB2
38,1,43.97814693,-72.9401735,#FFFFB2
39,1,43.97591994,-72.94029077,#FFFFB2
40,1,43.97368424,-72.94089125,#FFFFB2
41,1,43.97227675,-72.94341311,#FFFFB2
42,1,43.98648575,-72.93752231,#FFFFB2
45,1,43.9933004,-72.93664715,#FFFFB2
55,1,44.92152485,-72.5365417,#FFFFB2
57,1,44.91772684,-72.53977267,#FFFFB2
58,1,44.91560874,-72.54063282,#FFFFB2
59,1,44.19168857,-73.84018647,#FFFFB2
61,1,44.1903732,-73.84572943,#FFFFB2
62,1,44.188326,-73.84702317,#FFFFB2
63,1,44.18757926,-73.8499814,#FFFFB2
79,1,44.44657487,-72.83661031,#FFFFB2
81,1,44.44244888,-72.83834277,#FFFFB2
82,1,44.4405321,-72.83667762,#FFFFB2
87,1,44.4484504,-72.83979225,#FFFFB2
92,1,44.43919,-72.84948,#FFFFB2
93,1,44.43718,-72.85088,#FFFFB2
94,1,44.43537,-72.85276,#FFFFB2
95,1,44.0045,-72.9327,#FFFFB2
96,1,44.00228,-72.93217,#FFFFB2
99,1,45.95522616,-69.01427161,#FFFFB2
105,1,44.4950195,-71.41344018,#FFFFB2
106,1,44.49496837,-71.41028859,#FFFFB2
112,1,44.20811,-72.34102,#FFFFB2
116,1,45.22265,-70.84108,#FFFFB2
117,1,45.2237,-70.84401,#FFFFB2
120,1,45.2248,-70.85083,#FFFFB2
122,1,44.99376,-70.37074,#FFFFB2
132,1,44.98033,-70.37605,#FFFFB2
133,1,45.22243,-70.83936,#FFFFB2
134,1,45.2209,-70.83511,#FFFFB2
135,1,45.22256,-70.83296,#FFFFB2
137,1,45.22675,-70.83067,#FFFFB2
138,1,45.229,-70.83018,#FFFFB2
140,1,44.95975,-70.32523,#FFFFB2
145,1,45.00843,-70.37341,#FFFFB2
146,1,45.00649,-70.37505,#FFFFB2
147,1,45.00452,-70.37659,#FFFFB2
148,1,45.00462,-70.37978,#FFFFB2
159,1,45.02044631,-70.34909665,#FFFFB2
162,1,45.01386912,-70.35068854,#FFFFB2
163,1,45.01206156,-70.35257623,#FFFFB2
164,1,45.01095079,-70.35533303,#FFFFB2
165,1,44.25315843,-71.16853296,#FFFFB2
166,1,44.25516196,-71.16997548,#FFFFB2
169,1,44.26060047,-71.17545356,#FFFFB2
172,1,44.31275594,-71.49251112,#FFFFB2
173,1,44.31082961,-71.49081236,#FFFFB2
174,1,44.31062786,-71.48759404,#FFFFB2
176,1,43.96716,-71.26613,#FFFFB2
185,1,44.04531112,-72.90738434,#FFFFB2
188,1,44.03913315,-72.90523999,#FFFFB2
189,1,44.0371246,-72.90378783,#FFFFB2
191,1,45.46750375,-70.11107918,#FFFFB2
192,1,45.46944357,-70.1127113,#FFFFB2
193,1,45.46967056,-70.11593909,#FFFFB2
199,1,44.39842201,-71.30721255,#FFFFB2
200,1,44.39877782,-71.30407915,#FFFFB2
204,1,44.06991502,-73.79868616,#FFFFB2
206,1,44.07199449,-73.79367504,#FFFFB2
207,1,44.07387388,-73.7920342,#FFFFB2
208,1,44.07593139,-73.7907718,#FFFFB2
209,1,43.30765888,-73.04282181,#FFFFB2
215,1,44.65363017,-71.77047498,#FFFFB2
216,1,44.65582782,-71.77032913,#FFFFB2
217,1,44.6579694,-71.76932263,#FFFFB2
220,1,44.66456998,-71.76999997,#FFFFB2
222,1,44.24451074,-71.36602719,#FFFFB2
223,1,44.2430439,-71.36361555,#FFFFB2
226,1,44.24203011,-71.35478907,#FFFFB2
230,1,44.20643234,-71.29228178,#FFFFB2
232,1,44.21072127,-71.29115392,#FFFFB2
233,1,43.16961,-73.11111,#FFFFB2
235,1,43.16553,-73.11385,#FFFFB2
241,1,44.29515,-72.88284,#FFFFB2
243,1,44.29879,-72.87922,#FFFFB2
246,1,43.87212507,-72.97850344,#FFFFB2
247,1,43.87411594,-72.98007228,#FFFFB2
248,1,43.87623288,-72.98113897,#FFFFB2
249,1,43.87842651,-72.98110452,#FFFFB2
253,1,44.90647,-72.49826,#FFFFB2
258,1,42.97513512,-73.07213659,#FFFFB2
260,1,44.13046,-73.85139,#FFFFB2
261,1,44.13082,-73.84829,#FFFFB2
262,1,44.1308,-73.84514,#FFFFB2
264,1,44.13019,-73.83897,#FFFFB2
265,1,44.13149,-73.83579,#FFFFB2
269,1,44.07570348,-71.50701868,#FFFFB2
273,1,44.15938,-73.8108,#FFFFB2
274,1,44.15862,-73.81377,#FFFFB2
277,1,44.15414,-73.82065,#FFFFB2
278,1,44.17759,-73.72868,#FFFFB2
279,1,44.17791,-73.73179,#FFFFB2
280,1,44.1789,-73.73459,#FFFFB2
285,1,44.39372,-72.6501,#FFFFB2
289,1,42.17703,-74.23067,#FFFFB2
290,1,42.17908,-74.22942,#FFFFB2
291,1,42.18135,-74.22931,#FFFFB2
292,1,42.1834,-74.23057,#FFFFB2
295,1,42.16563,-74.22405,#FFFFB2
299,1,42.17278,-74.22754,#FFFFB2
306,1,44.26621316,-71.27370849,#FFFFB2
307,1,44.26635984,-71.27054483,#FFFFB2
308,1,44.26795257,-71.26833511,#FFFFB2
309,1,44.2690216,-71.26557729,#FFFFB2
310,1,44.27051894,-71.263212,#FFFFB2
313,1,44.23584,-73.71284,#FFFFB2
318,1,44.21136341,-71.3093579,#FFFFB2
321,1,44.20582666,-71.31436625,#FFFFB2
322,1,44.20361325,-71.31487437,#FFFFB2
332,1,44.31161483,-71.28450841,#FFFFB2
335,1,45.88983399,-68.94200737,#FFFFB2
336,1,45.88751446,-68.942304,#FFFFB2
340,1,45.92296254,-68.90846517,#FFFFB2
343,1,45.91635576,-68.91102064,#FFFFB2
345,1,45.91386734,-68.90662241,#FFFFB2
348,1,45.42514706,-70.54795344,#FFFFB2
349,1,45.42342902,-70.54588311,#FFFFB2
351,1,45.41923933,-70.54482305,#FFFFB2
358,1,43.60625,-72.82336,#FFFFB2
359,1,43.60818,-72.82527,#FFFFB2
360,1,43.6104,-72.82598,#FFFFB2
367,1,43.5968943,-72.80758118,#FFFFB2
368,1,43.59700235,-72.81071224,#FFFFB2
371,1,44.98299982,-70.36416102,#FFFFB2
380,1,44.14603,-73.83309,#FFFFB2
387,1,44.70765414,-73.8616444,#FFFFB2
388,1,44.70557073,-73.86282834,#FFFFB2
390,1,44.32203,-71.251,#FFFFB2
391,1,44.32402,-71.25244,#FFFFB2
393,1,44.32704,-71.25704,#FFFFB2
402,1,45.06940979,-71.17254303,#FFFFB2
403,1,45.06743258,-71.17044755,#FFFFB2
404,1,45.06562544,-71.16842877,#FFFFB2
405,1,45.06370842,-71.16672004,#FFFFB2
410,1,44.54422,-72.80595,#FFFFB2
411,1,44.54336,-72.80885,#FFFFB2
422,1,44.52368,-72.81161,#FFFFB2
423,1,44.52235,-72.81416,#FFFFB2
426,1,45.41232736,-70.5958375,#FFFFB2
429,1,45.41868,-70.59436,#FFFFB2
436,1,44.26873284,-71.3466106,#FFFFB2
439,1,44.2693345,-71.33717844,#FFFFB2
443,1,44.03773036,-71.83456217,#FFFFB2
446,1,44.03124746,-71.83302099,#FFFFB2
448,1,44.41762285,-73.86809126,#FFFFB2
451,1,44.42027338,-73.85949645,#FFFFB2
455,1,44.03547345,-71.80736273,#FFFFB2
459,1,44.02762019,-71.81174713,#FFFFB2
464,1,44.3063,-71.3315,#FFFFB2
467,1,44.02927495,-71.81910007,#FFFFB2
468,1,44.02971508,-71.82219048,#FFFFB2
469,1,44.03188599,-71.82319237,#FFFFB2
475,1,44.1647,-72.93038,#FFFFB2
477,1,44.16916,-72.92953,#FFFFB2
479,1,44.31952232,-71.49235982,#FFFFB2
480,1,44.32173832,-71.49254976,#FFFFB2
482,1,44.32575652,-71.49597553,#FFFFB2
483,1,44.32768998,-71.4970723,#FFFFB2
484,1,44.30318,-71.28676,#FFFFB2
485,1,44.3024,-71.2897,#FFFFB2
487,1,44.29822,-71.28879,#FFFFB2
488,1,44.29601,-71.28819,#FFFFB2
493,1,44.31125273,-71.18365274,#FFFFB2
496,1,44.3104458,-71.17470539,#FFFFB2
497,1,44.31084009,-71.17163594,#FFFFB2
498,1,44.31026517,-71.16861359,#FFFFB2
499,1,44.14435999,-71.7426541,#FFFFB2
500,1,44.14319155,-71.73996577,#FFFFB2
505,1,44.74076,-70.77402,#FFFFB2
507,1,44.74299,-70.76876,#FFFFB2
509,1,44.74629,-70.76585,#FFFFB2
510,1,44.74849,-70.7652,#FFFFB2
513,1,44.00011833,-71.54172597,#FFFFB2
514,1,44.001141,-71.53891048,#FFFFB2
515,1,44.00155859,-71.53581278,#FFFFB2
516,1,44.00386588,-71.53395703,#FFFFB2
517,1,43.95093122,-71.37958995,#FFFFB2
518,1,43.95082075,-71.38451323,#FFFFB2
529,1,44.22438981,-71.39240722,#FFFFB2
530,1,44.22403333,-71.38926015,#FFFFB2
